EntryID,Z-number,Anglealpha,Anglebeta,Anglegamma,a,b,c,ExperimentalMethod,DepositionDate,ReleaseDate,PDBID,TotalNumberofNon-polymerInstances,MolecularWeightperDepositedModel,NumberofDistinctNon-polymerEntities,RefinementResolution,EntryPolymerTypes,StructureDeterminationMethodology,AverageBFactor,RFree,RWork,RAll,RObserved,HighResolutionLimit,StuctureKeywords,SpaceGroup,NumberofDistinctFreeLigands,TotalNumberofFreeLigands,NumberofDistinctLigands,TotalNumberofLigands
2JJP,2,90,100.71,90,53.243,68.038,57.687,X-RAY DIFFRACTION,2008-04-15,2009-07-14,2JJP,4,46.69,3,2.1,Protein (only),experimental,32.19,0.262,0.195,NA,0.199,2.1,OXIDOREDUCTASE,P 1 21 1,2,3,2,3
2JJQ,4,90,90,90,62.894,63.313,101.685,X-RAY DIFFRACTION,2008-04-17,2008-08-05,2JJQ,3,49.66,2,1.8,Protein (only),experimental,24.48,0.228,0.182,NA,0.185,1.8,TRANSFERASE,P 21 21 21,2,3,2,3
2JJS,4,90,95.01,90,42.477,72.41,89.826,X-RAY DIFFRACTION,2008-04-22,2008-08-05,2JJS,24,60.49,2,1.85,Protein (only),experimental,20.2,0.213,0.169,NA,0.171,1.85,CELL ADHESION,P 1 21 1,1,18,1,18
2JJV,8,90,93.39,90,114.979,47.49,40.044,X-RAY DIFFRACTION,2008-04-22,2008-08-05,2JJV,5,28.64,2,1.8,Protein (only),experimental,10.99,0.213,0.172,NA,0.174,1.8,IMMUNE SYSTEM,C 1 2 1,2,5,2,5
2JJZ,12,90,90,90,71.54,186.5,51.42,X-RAY DIFFRACTION,2008-05-15,2009-07-14,2JJZ,9,68.84,4,2.15,Protein (only),experimental,38.08,0.257,0.216,NA,0.218,2.15,METAL BINDING PROTEIN,P 21 21 2,2,4,2,4
2JK3,8,90,90,90,38.383,78.99,143.814,X-RAY DIFFRACTION,2008-08-11,2008-08-19,2JK3,1,43.27,1,2.2,Protein (only),experimental,30.78,0.254,0.198,NA,0.201,2.2,TRANSCRIPTION,P 21 21 21,1,1,1,1
2JKA,4,90,100.85,90,75.629,111.554,102.442,X-RAY DIFFRACTION,2008-08-23,2008-09-30,2JKA,10,167.19,2,1.9,Protein (only),experimental,19.93,0.203,0.154,NA,0.157,1.9,HYDROLASE,P 1 21 1,1,8,1,8
2JKB,4,90,90,90,76.719,82.746,118.079,X-RAY DIFFRACTION,2008-08-26,2008-09-16,2JKB,7,77.4,2,1.54,Protein (only),experimental,12.31,0.188,0.162,NA,0.163,1.54,LYASE,P 21 21 21,2,7,2,7
2JKE,4,90,100.86,90,75.722,112.244,102.494,X-RAY DIFFRACTION,2008-08-28,2008-09-30,2JKE,12,167.52,3,1.7,Protein (only),experimental,18.79,0.187,0.155,NA,0.157,1.7,HYDROLASE,P 1 21 1,2,10,2,10
2JKK,2,90,94.7,90,44.135,45.153,67.457,X-RAY DIFFRACTION,2008-08-28,2008-09-09,2JKK,2,32.3,2,2,Protein (only),experimental,28.216,0.23628,0.17896,NA,0.18189,2,TRANSFERASE,P 1 21 1,2,2,2,2
2JKL,18,90,90,120,119.6,119.6,57.8,X-RAY DIFFRACTION,2008-08-28,2008-12-16,2JKL,33,103.91,4,1.9,Protein (only),experimental,NA,0.198,0.183,NA,0.184,1.9,CELL ADHESION,P 3,4,33,4,33
2JKN,18,90,90,120,119.3,119.3,57.7,X-RAY DIFFRACTION,2008-08-28,2008-12-16,2JKN,30,101.46,3,1.9,Protein (only),experimental,NA,0.212,0.191,NA,0.192,1.9,CELL ADHESION,P 3,3,30,3,30
2JKO,2,90,98.63,90,45.691,47.063,62.979,X-RAY DIFFRACTION,2008-08-28,2008-09-09,2JKO,1,32.23,1,1.65,Protein (only),experimental,26.645,0.21744,0.18848,NA,0.18998,1.65,TRANSFERASE,P 1 21 1,1,1,1,1
2JKP,4,90,100.89,90,74.566,111.988,104.134,X-RAY DIFFRACTION,2008-08-29,2008-09-30,2JKP,8,167.32,3,1.99,Protein (only),experimental,32.07,0.227,0.173,NA,0.176,1.99,HYDROLASE,P 1 21 1,2,6,2,6
2JKU,12,90,90,120,56.107,56.107,58.083,X-RAY DIFFRACTION,2008-08-30,2008-09-09,2JKU,2,10.33,1,1.5,Protein (only),experimental,12.85,0.166,0.148,NA,0.149,1.5,LIGASE,P 64 2 2,1,2,1,2
2JKX,4,90,117.24,90,96.95,88.52,85.35,X-RAY DIFFRACTION,2008-09-01,2008-09-09,2JKX,2,68.68,2,1.84,Protein (only),experimental,18.06,0.201,0.163,NA,0.167,1.84,OXIDOREDUCTASE,C 1 2 1,1,1,1,1
2JL1,8,90,90,90,59.262,140.384,76.096,X-RAY DIFFRACTION,2008-09-02,2008-09-23,2JL1,6,32.22,2,1.96,Protein (only),experimental,28.72,0.232,0.179,NA,0.182,1.96,OXIDOREDUCTASE,C 2 2 21,2,6,2,6
2JLH,8,90,90,90,65.873,65.873,66.677,X-RAY DIFFRACTION,2008-09-09,2009-02-03,2JLH,4,17.86,1,1.53,Protein (only),experimental,20.35,0.21,0.187,NA,0.188,1.53,PROTEIN TRANSPORT,P 43 21 2,1,4,1,4
2JLP,8,90,106.23,90,56.738,93.588,75.6,X-RAY DIFFRACTION,2008-09-14,2009-03-17,2JLP,10,97.42,3,1.7,Protein (only),experimental,24.02,0.185,0.15,NA,0.152,1.7,OXIDOREDUCTASE,P 1 21 1,1,2,1,2
2JLQ,4,90,90,90,52.821,92.614,102.962,X-RAY DIFFRACTION,2008-09-15,2008-11-25,2JLQ,2,51.47,2,1.67,Protein (only),experimental,28.553,0.23384,0.21095,NA,0.21212,1.67,HYDROLASE,P 21 21 21,2,2,2,2
2JLR,2,90,105.9,90,52.632,88.678,54.698,X-RAY DIFFRACTION,2008-09-15,2008-11-25,2JLR,2,51.91,2,2,Protein (only),experimental,33.241,0.25072,0.20113,NA,0.20375,2,HYDROLASE,P 1 21 1,1,1,1,1
2V4C,4,90,90,90,47.399,74.502,86.402,X-RAY DIFFRACTION,2008-09-18,2010-03-31,2V4C,1,34.89,1,1.7,Protein (only),experimental,21.302,0.19397,0.14309,NA,0.1457,1.7,TRANSPORT PROTEIN,P 21 21 21,1,1,1,1
2V4J,4,90,104.13,90,65.41,118.9,132.24,X-RAY DIFFRACTION,2008-09-22,2008-12-02,2V4J,14,213.78,4,2.1,Protein (only),experimental,43.5,0.2188,0.1901,NA,0.1916,2.1,OXIDOREDUCTASE,P 1 21 1,2,4,2,4
2V4N,16,90,90,90,73.73,121.638,143.256,X-RAY DIFFRACTION,2008-09-26,2008-12-09,2V4N,4,27.33,3,1.7,Protein (only),experimental,25.555,0.21227,0.18297,NA,0.18446,1.7,HYDROLASE,F 2 2 2,2,2,2,2
2V4V,4,90,90,90,31.026,43.598,93.323,X-RAY DIFFRACTION,2008-09-29,2009-10-13,2V4V,2,13.9,2,1.5,Protein (only),experimental,11.97,0.222,0.19,NA,0.192,1.5,HYDROLASE,P 21 21 21,1,1,1,1
2V57,4,63.88,88.34,88.13,48.3,62.44,70.64,X-RAY DIFFRACTION,2008-10-02,2009-10-20,2V57,10,83.91,3,1.9,Protein (only),experimental,NA,0.234,0.196,NA,0.198,1.9,TRANSCRIPTION,P 1,3,10,3,10
2V58,8,90,90,90,84.211,106.609,122.344,X-RAY DIFFRACTION,2008-10-02,2009-01-13,2V58,4,99.63,2,2.1,Protein (only),experimental,25.37,0.219,0.193,NA,0.194,2.1,LIGASE,P 21 21 21,2,4,2,4
2V5G,8,90,90,90,66.297,66.297,68.5,X-RAY DIFFRACTION,2008-10-06,2008-11-04,2V5G,1,17.03,1,2,Protein (only),experimental,30.46,0.253,0.221,NA,0.222,2,MEMBRANE PROTEIN,P 43 21 2,1,1,1,1
2VNA,4,90,108.43,90,70.335,83.505,72.585,X-RAY DIFFRACTION,2008-02-01,2009-02-17,2VNA,1,40.08,1,2.17,Protein (only),experimental,NA,0.226,0.189,NA,0.192,2.17,OXIDOREDUCTASE,C 1 2 1,1,1,1,1
2VND,4,90,90,90,40.265,64.411,75.639,X-RAY DIFFRACTION,2008-02-04,2008-02-12,2VND,2,26.83,2,1.7,Protein (only),experimental,12.93,0.259,0.197,NA,0.2,1.7,HYDROLASE,P 21 21 21,1,1,1,1
2VNF,8,90,90,90,68.516,68.516,28.174,X-RAY DIFFRACTION,2008-02-04,2008-04-01,2VNF,7,16.85,4,1.76,Protein (only),experimental,31.69,0.227,0.156,NA,0.16,1.76,CELL CYCLE,P 43,2,2,2,2
2VNJ,6,90,90,120,68.72,68.72,128.15,X-RAY DIFFRACTION,2008-02-05,2008-11-11,2VNJ,3,32.26,3,2.13,Protein (only),experimental,35.1,0.271,0.237,NA,0.237,2.13,OXIDOREDUCTASE,P 31 2 1,3,3,3,3
2VNK,8,90,89.97,90,69.382,93.446,104.936,X-RAY DIFFRACTION,2008-02-05,2008-11-11,2VNK,8,127.86,2,1.93,Protein (only),experimental,14.772,0.22615,0.20008,NA,0.20008,1.93,OXIDOREDUCTASE,P 1 21 1,2,8,2,8
2VNL,9,90,90,120,58.012,58.012,156.11,X-RAY DIFFRACTION,2008-02-05,2009-02-10,2VNL,3,17.16,1,1.8,Protein (only),experimental,31.35,0.229,0.19,NA,0.192,1.8,VIRAL PROTEIN,H 3,1,3,1,3
2VNM,4,90,90,90,47.952,76.217,104.492,X-RAY DIFFRACTION,2008-02-05,2008-05-20,2VNM,2,45,1,1.79,Protein (only),experimental,20.71,0.231,0.191,NA,0.192,1.79,HYDROLASE,P 21 21 21,1,2,1,2
2VNN,4,90,90,90,48.469,76.699,104.174,X-RAY DIFFRACTION,2008-02-05,2008-05-20,2VNN,1,44.39,1,1.87,Protein (only),experimental,21.8,0.211,0.173,NA,0.174,1.87,HYDROLASE,P 21 21 21,1,1,1,1
2VNP,4,90,100.3,90,43.2,69.1,62.4,X-RAY DIFFRACTION,2008-02-06,2008-03-18,2VNP,6,41.95,3,2.19,Protein (only),experimental,23.91,0.255,0.194,NA,0.197,2.19,ISOMERASE,P 1 21 1,1,2,1,2
2VNQ,4,90,100.3,90,43.2,69.1,62.4,X-RAY DIFFRACTION,2008-02-06,2008-03-18,2VNQ,6,41.73,3,2.2,Protein (only),experimental,21.46,0.261,0.194,NA,0.197,2.2,ISOMERASE,P 1 21 1,2,4,2,4
2VNS,8,90,90,90,37.686,66.812,143.366,X-RAY DIFFRACTION,2008-02-07,2008-05-06,2VNS,1,46.82,1,2,Protein (only),experimental,19.24,0.244,0.203,NA,0.205,2,OXIDOREDUCTASE,P 21 21 21,1,1,1,1
2VNV,40,90,90,90,50.01,185.702,187.551,X-RAY DIFFRACTION,2008-02-07,2008-04-08,2VNV,19,71.31,3,1.7,Protein (only),experimental,18.48,0.203,0.169,NA,0.171,1.7,SUGAR BINDING PROTEIN,C 2 2 21,2,9,2,9
2VNW,4,90,90,90,72.84,74.545,79.932,X-RAY DIFFRACTION,2008-02-08,2008-04-08,2VNW,1,43.37,1,2.09,Protein (only),experimental,20.1,0.247,0.175,NA,0.179,2.09,TRANSFERASE,P 21 21 21,1,1,1,1
2VNY,4,90,90,90,72.859,74.783,79.928,X-RAY DIFFRACTION,2008-02-08,2008-04-08,2VNY,1,43.36,1,1.96,Protein (only),experimental,24.79,0.292,0.223,NA,0.226,1.96,TRANSFERASE,P 21 21 21,1,1,1,1
2VO0,4,90,90,90,73.366,73.891,79.844,X-RAY DIFFRACTION,2008-02-08,2008-04-08,2VO0,6,44.1,4,1.94,Protein (only),experimental,15.75,0.216,0.162,NA,0.165,1.94,TRANSFERASE,P 21 21 21,4,6,4,6
2VO2,8,90,90,90,82.057,82.057,75.631,X-RAY DIFFRACTION,2008-02-08,2008-04-08,2VO2,3,28.98,3,1.9,Protein (only),experimental,20.49,0.236,0.174,NA,0.177,1.9,OXIDOREDUCTASE,P 42 21 2,1,1,1,1
2VO3,4,90,90,90,73.124,74.477,79.933,X-RAY DIFFRACTION,2008-02-08,2008-04-08,2VO3,2,43.53,2,1.98,Protein (only),experimental,21.51,0.246,0.186,NA,0.189,1.98,TRANSFERASE,P 21 21 21,2,2,2,2
2VO4,16,90,90,90,91.375,91.375,111.83,X-RAY DIFFRACTION,2008-02-08,2008-12-02,2VO4,6,52.77,3,1.75,Protein (only),experimental,26.71,0.243,0.194,NA,0.197,1.75,TRANSFERASE,P 41 21 2,3,6,3,6
2VO6,4,90,90,90,72.91,74.291,80.104,X-RAY DIFFRACTION,2008-02-08,2008-04-08,2VO6,2,43.52,2,1.97,Protein (only),experimental,18.33,0.229,0.172,NA,0.175,1.97,TRANSFERASE,P 21 21 21,2,2,2,2
2VO7,4,90,90,90,72.488,75.143,80.203,X-RAY DIFFRACTION,2008-02-08,2008-04-08,2VO7,2,43.75,1,1.98,Protein (only),experimental,22,0.241,0.188,NA,0.191,1.98,TRANSFERASE,P 21 21 21,1,2,1,2
2VO9,24,90,90,90,59.787,95.18,182.578,X-RAY DIFFRACTION,2008-02-09,2008-02-19,2VO9,9,60.15,2,1.8,Protein (only),experimental,25.79,0.244,0.196,NA,0.198,1.8,HYDROLASE,C 2 2 21,1,6,1,6
2VOC,2,83.33,66.62,78.08,36.765,38.395,41.878,X-RAY DIFFRACTION,2008-02-13,2009-03-10,2VOC,1,25.02,1,1.5,Protein (only),experimental,18.18,0.237,0.185,NA,0.188,1.5,ELECTRON TRANSPORT,P 1,1,1,1,1
2VOF,4,90,109.53,90,49.64,60.683,59.986,X-RAY DIFFRACTION,2008-02-17,2008-03-04,2VOF,2,42.68,1,1.8,Protein (only),experimental,28.2,0.21,0.183,NA,0.184,1.8,APOPTOSIS,P 1 21 1,1,2,1,2
2VOG,4,90,90,90,66.654,68.05,32.136,X-RAY DIFFRACTION,2008-02-17,2008-03-04,2VOG,2,21.27,1,1.9,Protein (only),experimental,26.59,0.231,0.191,NA,0.193,1.9,APOPTOSIS,P 21 21 2,1,2,1,2
2VOH,2,90,104.67,90,44.239,33.255,58.508,X-RAY DIFFRACTION,2008-02-17,2008-03-04,2VOH,2,21.13,2,1.9,Protein (only),experimental,22.81,0.229,0.182,NA,0.185,1.9,APOPTOSIS,P 1 21 1,2,2,2,2
2VOI,4,90,90,90,61.737,80.808,32.184,X-RAY DIFFRACTION,2008-02-17,2008-03-04,2VOI,1,21.9,1,2.1,Protein (only),experimental,52.29,0.242,0.207,NA,0.209,2.1,APOPTOSIS,P 21 21 2,1,1,1,1
2VOS,12,90,90,90,112.405,112.405,112.405,X-RAY DIFFRACTION,2008-02-19,2008-07-01,2VOS,8,52.07,4,2,Protein (only),experimental,42.37,0.192,0.157,NA,0.158,2,LIGASE,P 21 3,2,3,2,3
2VOW,4,90,97.56,90,65.28,100.67,54.65,X-RAY DIFFRACTION,2008-02-22,2008-03-18,2VOW,2,36.31,2,1.65,Protein (only),experimental,21.38,0.204,0.181,NA,0.183,1.65,METAL BINDING PROTEIN,C 1 2 1,1,1,1,1
2VOZ,8,90,90,90,91.08,100.134,66.523,X-RAY DIFFRACTION,2008-02-25,2008-03-25,2VOZ,3,76.68,1,1.7,Protein (only),experimental,15.57,0.201,0.163,NA,0.165,1.7,METAL BINDING PROTEIN,P 21 21 2,1,3,1,3
2VP0,8,90,90,90,119.041,64.978,69.109,X-RAY DIFFRACTION,2008-02-26,2008-04-29,2VP0,4,59.27,2,2.2,Protein (only),experimental,35.84,0.259,0.214,NA,0.217,2.2,TRANSFERASE,P 21 21 2,1,2,1,2
2VP4,8,90,96.38,90,67.858,119.034,70.511,X-RAY DIFFRACTION,2008-02-26,2008-04-29,2VP4,4,109.5,1,2.2,Protein (only),experimental,31.84,0.249,0.195,NA,0.197,2.2,TRANSFERASE,P 1 21 1,1,4,1,4
2VP7,8,90,90,90,32.65,72.06,91.81,X-RAY DIFFRACTION,2008-02-26,2008-06-17,2VP7,5,11.64,2,1.65,Protein (only),experimental,28.7,0.267,0.218,NA,0.22,1.65,GENE REGULATION,I 2 2 2,1,3,1,3
2VPE,16,90,90,90,105.72,105.72,51.43,X-RAY DIFFRACTION,2008-02-27,2008-06-17,2VPE,5,22.37,2,1.7,Protein (only),experimental,28.81,0.23,0.193,NA,0.195,1.7,GENE REGULATION,P 4 21 2,1,1,1,1
2VPG,16,90,90,90,105.75,105.75,51.42,X-RAY DIFFRACTION,2008-02-27,2008-06-17,2VPG,5,24.77,2,1.6,Protein (only),experimental,21.98,0.218,0.201,NA,0.202,1.6,GENE REGULATION,P 4 21 2,1,1,1,1
2VPJ,2,90,111.75,90,44.637,61.546,45.523,X-RAY DIFFRACTION,2008-02-29,2008-03-18,2VPJ,2,33.02,1,1.85,Protein (only),experimental,23.13,0.222,0.161,NA,0.164,1.85,PROTEIN BINDING,P 1 21 1,1,2,1,2
2VPO,2,80.8,85.7,78,48.6,52.1,63.7,X-RAY DIFFRACTION,2008-03-03,2008-08-26,2VPO,4,71.79,2,1.8,Protein (only),experimental,13.46,0.225,0.179,NA,0.182,1.8,TRANSPORT,P 1,1,2,1,2
2VPP,8,90,90,90,120.106,62.298,68.078,X-RAY DIFFRACTION,2008-03-03,2009-03-24,2VPP,4,54.53,2,2.2,Protein (only),experimental,28.25,0.253,0.207,NA,0.209,2.2,TRANSFERASE,P 21 21 2,2,4,2,4
2VPQ,4,90,103.82,90,78.247,63.318,105.142,X-RAY DIFFRACTION,2008-03-03,2008-09-09,2VPQ,8,101.39,3,2.1,Protein (only),experimental,19.18,0.284,0.215,NA,0.219,2.1,LIGASE,P 1 21 1,2,4,2,4
2VQ2,12,90,90,120,87.446,87.446,117.102,X-RAY DIFFRACTION,2008-03-10,2008-05-27,2VQ2,7,25.77,5,1.54,Protein (only),experimental,19.66,0.183,0.165,NA,0.166,1.54,STRUCTURAL PROTEIN,P 62 2 2,4,6,4,6
2VQ3,8,90,90,90,37.686,66.812,143.366,X-RAY DIFFRACTION,2008-03-10,2008-05-06,2VQ3,3,48.31,2,2,Protein (only),experimental,19.31,0.236,0.197,NA,0.199,2,OXIDOREDUCTASE,P 21 21 21,2,3,2,3
2VQ5,12,90,90,120,86.474,86.474,117.977,X-RAY DIFFRACTION,2008-03-11,2008-08-05,2VQ5,10,45.91,4,2.09,Protein (only),experimental,37.381,0.26605,0.22086,NA,0.22312,2.09,LYASE,P 31 2 1,4,10,4,10
2VQ9,8,90,90,90,43.168,60.964,115.229,X-RAY DIFFRACTION,2008-03-12,2008-06-17,2VQ9,2,17.13,1,1.85,Protein (only),experimental,27.25,0.254,0.198,NA,0.2,1.85,HYDROLASE,I 2 2 2,1,2,1,2
2VQG,72,90,90,90,87.07,87.07,260.53,X-RAY DIFFRACTION,2008-03-15,2008-05-20,2VQG,61,101.35,5,1.82,Protein (only),experimental,21.17,0.215,0.195,NA,0.196,1.82,MEMBRANE PROTEIN,P 41 21 2,3,6,3,6
2VQJ,8,90,90,90,106.77,137.562,68.993,X-RAY DIFFRACTION,2008-03-17,2008-07-08,2VQJ,9,45.49,5,2.1,Protein (only),experimental,36.84,0.276,0.225,NA,0.228,2.1,HYDROLASE,C 2 2 21,3,5,3,5
2VQM,8,90,90,90,108.866,138.208,69.603,X-RAY DIFFRACTION,2008-03-17,2008-07-08,2VQM,5,45.05,3,1.8,Protein (only),experimental,25.59,0.256,0.219,NA,0.221,1.8,HYDROLASE,C 2 2 21,1,1,1,1
2VQO,4,90,108.11,90,86.092,70.965,88.331,X-RAY DIFFRACTION,2008-03-18,2008-07-08,2VQO,11,90.3,4,2.15,Protein (only),experimental,28.02,0.25,0.21,NA,0.212,2.15,HYDROLASE,P 1 21 1,2,5,2,5
2VQP,4,90,96.28,90,52.299,78.697,66.018,X-RAY DIFFRACTION,2008-03-18,2009-02-17,2VQP,12,29.57,3,1.6,Protein (only),experimental,15.5,0.217,0.18,NA,0.182,1.6,VIRAL PROTEIN,C 1 2 1,3,12,3,12
2VQQ,4,90,108.08,90,85.605,70.673,88.201,X-RAY DIFFRACTION,2008-03-18,2008-07-08,2VQQ,11,90.25,4,1.9,Protein (only),experimental,16.33,0.221,0.194,NA,0.196,1.9,HYDROLASE,P 1 21 1,2,5,2,5
2VQT,4,90,113.24,90,91.234,114.86,99.308,X-RAY DIFFRACTION,2008-03-18,2008-04-08,2VQT,70,200.47,4,2.1,Protein (only),experimental,27.07,0.231,0.169,NA,0.172,2.1,HYDROLASE,P 1 21 1,4,70,4,70
2VQU,4,90,113.4,90,91.1,115.1,99.5,X-RAY DIFFRACTION,2008-03-18,2008-04-01,2VQU,77,200.73,4,1.9,Protein (only),experimental,22.8,0.231,0.177,NA,0.179,1.9,HYDROLASE,P 1 21 1,4,77,4,77
2VQY,8,90,90,90,57.331,57.331,147.62,X-RAY DIFFRACTION,2008-03-20,2008-09-02,2VQY,4,23.89,3,1.8,Protein (only),experimental,18.55,0.217,0.184,NA,0.186,1.8,TRANSFERASE,P 43 21 2,2,2,2,2
2VR4,4,90,113.03,90,91.195,114.738,99.173,X-RAY DIFFRACTION,2008-03-25,2008-04-08,2VR4,71,200.61,4,1.8,Protein (only),experimental,23.8,0.222,0.177,NA,0.179,1.8,HYDROLASE,P 1 21 1,4,71,4,71
2VR7,4,90,102.98,90,36.768,56.435,75.028,X-RAY DIFFRACTION,2008-03-28,2008-04-15,2VR7,14,32.85,4,1.58,Protein (only),experimental,10.92,0.175,0.135,NA,0.137,1.58,OXIDOREDUCTASE,P 1 21 1,2,6,2,6
2VRB,8,90,90,90,58.8,141.645,75.811,X-RAY DIFFRACTION,2008-03-31,2008-09-23,2VRB,1,31.72,1,2,Protein (only),experimental,38.18,0.242,0.2,NA,0.202,2,OXIDOREDUCTASE,C 2 2 21,1,1,1,1
2VRE,24,90,90,90,127.58,137.253,96.137,X-RAY DIFFRACTION,2008-03-31,2008-04-15,2VRE,6,98.56,1,1.95,Protein (only),experimental,37.71,0.202,0.167,NA,0.169,1.95,ISOMERASE,C 2 2 21,1,6,1,6
2VRF,8,90,95.78,90,56.687,29.503,128.382,X-RAY DIFFRACTION,2008-03-31,2008-04-22,2VRF,3,41.57,1,2,Protein (only),experimental,24.4,0.247,0.184,NA,0.186,2,PROTEIN BINDING,P 1 21 1,1,3,1,3
2VRI,4,90,90,90,53.97,54.77,57.33,X-RAY DIFFRACTION,2008-04-08,2009-06-09,2VRI,2,19,1,1.9,Protein (only),experimental,21.25,0.243,0.185,NA,0.189,1.9,VIRAL PROTEIN,P 21 21 21,1,2,1,2
2VRJ,8,90,90,90,93.696,94.409,113.026,X-RAY DIFFRACTION,2008-04-09,2008-10-14,2VRJ,7,108.8,3,1.9,Protein (only),experimental,36.89,0.239,0.195,NA,0.197,1.9,HYDROLASE,P 21 21 21,2,5,2,5
2VRK,36,90,90,120,158,158,380,X-RAY DIFFRACTION,2008-04-09,2008-07-01,2VRK,4,171.18,1,2.2,Protein (only),experimental,31.98,0.186,0.165,NA,0.166,2.2,HYDROLASE,P 65 2 2,1,4,1,4
2VRO,2,111.18,90.48,113.27,57.98,67.69,77.62,X-RAY DIFFRACTION,2008-04-09,2008-04-22,2VRO,4,113.37,3,1.6,Protein (only),experimental,18.32,0.238,0.207,NA,0.209,1.6,OXIDOREDUCTASE,P 1,3,4,3,4
2VRS,12,90,101.79,90,142.789,54.008,121.336,X-RAY DIFFRACTION,2008-04-14,2009-01-13,2VRS,13,68.66,4,1.75,Protein (only),experimental,27.73,0.218,0.18,NA,0.18,1.75,VIRAL PROTEIN,C 1 2 1,3,6,3,6
2VRX,4,90,96.93,90,45.735,67.004,116.583,X-RAY DIFFRACTION,2008-04-16,2008-07-01,2VRX,2,78.28,1,1.86,Protein (only),experimental,26.25,0.243,0.188,NA,0.191,1.86,CELL CYCLE/TRANSFERASE,P 1 21 1,1,2,1,2
2VRY,18,90,90,120,87.92,87.92,113.646,X-RAY DIFFRACTION,2008-04-16,2008-05-06,2VRY,3,18.12,2,1.87,Protein (only),experimental,30.65,0.217,0.185,NA,0.187,1.87,OXYGEN STORAGE/TRANSPORT,H 3 2,1,2,1,2
2VS1,4,90,111.61,90,99.529,100.415,55.737,X-RAY DIFFRACTION,2008-04-17,2008-08-05,2VS1,2,49.6,2,2.1,Protein (only),experimental,37.45,0.251,0.185,NA,0.188,2.1,TRANSFERASE,C 1 2 1,2,2,2,2
2VS5,8,90,90,90,87.027,91.37,94.63,X-RAY DIFFRACTION,2008-04-18,2008-07-15,2VS5,6,68.94,3,1.82,Protein (only),experimental,18.8,0.242,0.236,NA,0.236,1.82,TRANSFERASE,P 21 21 21,2,3,2,3
2VSH,16,90,90,90,81,93.38,144.19,X-RAY DIFFRACTION,2008-04-23,2008-12-30,2VSH,8,53.94,5,2,Protein (only),experimental,33.13,0.254,0.196,NA,0.199,2,TRANSFERASE,C 2 2 21,4,6,4,6
